episode_id,trials,adaptive_success,fixed_success,adaptive_calls,fixed_calls,episode_delta_success,episode_delta_calls
v4conf-000,22,19,19,42,44,0.0,-0.090909
v4conf-001,22,22,22,34,44,0.0,-0.454545
v4conf-002,22,22,18,34,44,0.181818,-0.454545
v4conf-003,22,16,16,44,44,0.0,0.0
v4conf-004,22,17,16,48,44,0.045455,0.181818
v4conf-005,22,22,22,34,44,0.0,-0.454545
v4conf-006,22,15,15,59,44,0.0,0.681818
v4conf-007,22,17,15,56,44,0.090909,0.545455
v4conf-008,22,22,22,34,44,0.0,-0.454545
v4conf-009,22,19,19,45,44,0.0,0.045455
v4conf-010,22,22,22,34,44,0.0,-0.454545
v4conf-011,22,22,15,34,44,0.318182,-0.454545
v4conf-012,22,22,22,34,44,0.0,-0.454545
v4conf-013,22,18,18,56,44,0.0,0.545455
v4conf-014,22,18,7,42,44,0.5,-0.090909
v4conf-015,22,19,13,44,44,0.272727,0.0
v4conf-016,22,22,22,34,44,0.0,-0.454545
v4conf-017,22,20,22,37,44,-0.090909,-0.318182
v4conf-018,22,22,22,34,44,0.0,-0.454545
v4conf-019,22,22,22,34,44,0.0,-0.454545
v4conf-020,22,22,22,34,44,0.0,-0.454545
v4conf-021,22,22,22,34,44,0.0,-0.454545
v4conf-022,22,17,16,58,44,0.045455,0.636364
v4conf-023,22,11,12,58,44,-0.045455,0.636364
v4conf-024,22,11,11,54,44,0.0,0.454545
v4conf-025,22,22,22,34,44,0.0,-0.454545
v4conf-026,22,21,22,35,44,-0.045455,-0.409091
v4conf-027,22,22,22,34,44,0.0,-0.454545
v4conf-028,22,12,14,49,44,-0.090909,0.227273
v4conf-029,22,21,22,34,44,-0.045455,-0.454545
v4conf-030,22,22,22,34,44,0.0,-0.454545
v4conf-031,22,15,16,50,44,-0.045455,0.272727
v4conf-032,22,15,15,47,44,0.0,0.136364
v4conf-033,22,17,16,54,44,0.045455,0.454545
v4conf-034,22,22,22,34,44,0.0,-0.454545
v4conf-035,22,22,22,34,44,0.0,-0.454545
v4conf-036,22,17,17,50,44,0.0,0.272727
v4conf-037,22,21,22,34,44,-0.045455,-0.454545
v4conf-038,22,18,12,55,44,0.272727,0.5
v4conf-039,22,22,14,34,44,0.363636,-0.454545
v4conf-040,22,15,18,47,44,-0.136364,0.136364
v4conf-041,22,21,22,34,44,-0.045455,-0.454545
v4conf-042,22,22,22,34,44,0.0,-0.454545
v4conf-043,22,19,19,35,44,0.0,-0.409091
v4conf-044,22,22,22,34,44,0.0,-0.454545
v4conf-045,22,21,22,36,44,-0.045455,-0.363636
v4conf-046,22,22,22,34,44,0.0,-0.454545
v4conf-047,22,22,22,34,44,0.0,-0.454545
v4conf-048,22,18,13,52,44,0.227273,0.363636
v4conf-049,22,14,15,42,44,-0.045455,-0.090909
v4conf-050,22,21,22,36,44,-0.045455,-0.363636
v4conf-051,22,22,11,34,44,0.5,-0.454545
v4conf-052,22,22,18,34,44,0.181818,-0.454545
v4conf-053,22,18,19,41,44,-0.045455,-0.136364
v4conf-054,22,22,22,34,44,0.0,-0.454545
v4conf-055,22,21,22,36,44,-0.045455,-0.363636
v4conf-056,22,22,18,34,44,0.181818,-0.454545
v4conf-057,22,16,17,54,44,-0.045455,0.454545
v4conf-058,22,19,18,45,44,0.045455,0.045455
v4conf-059,22,14,13,47,44,0.045455,0.136364
v4conf-060,22,19,19,37,44,0.0,-0.318182
v4conf-061,22,17,17,40,44,0.0,-0.181818
v4conf-062,22,18,19,44,44,-0.045455,0.0
v4conf-063,22,16,17,47,44,-0.045455,0.136364
v4conf-064,22,22,22,34,44,0.0,-0.454545
v4conf-065,22,22,22,34,44,0.0,-0.454545
v4conf-066,22,22,22,34,44,0.0,-0.454545
v4conf-067,22,19,19,46,44,0.0,0.090909
v4conf-068,22,11,12,52,44,-0.045455,0.363636
v4conf-069,22,17,18,59,44,-0.045455,0.681818
v4conf-070,22,22,22,34,44,0.0,-0.454545
v4conf-071,22,16,16,52,44,0.0,0.363636
v4conf-072,22,22,22,34,44,0.0,-0.454545
v4conf-073,22,22,22,34,44,0.0,-0.454545
v4conf-074,22,19,22,38,44,-0.136364,-0.272727
v4conf-075,22,12,11,64,44,0.045455,0.909091
v4conf-076,22,22,22,34,44,0.0,-0.454545
v4conf-077,22,12,11,65,44,0.045455,0.954545
v4conf-078,22,14,14,56,44,0.0,0.545455
v4conf-079,22,15,15,53,44,0.0,0.409091
v4conf-080,22,22,19,34,44,0.136364,-0.454545
v4conf-081,22,22,13,34,44,0.409091,-0.454545
v4conf-082,22,10,13,54,44,-0.136364,0.454545
v4conf-083,22,13,11,57,44,0.090909,0.590909
v4conf-084,22,21,22,34,44,-0.045455,-0.454545
v4conf-085,22,20,22,36,44,-0.090909,-0.363636
v4conf-086,22,21,22,35,44,-0.045455,-0.409091
v4conf-087,22,22,22,34,44,0.0,-0.454545
v4conf-088,22,18,19,43,44,-0.045455,-0.045455
v4conf-089,22,22,22,34,44,0.0,-0.454545
v4conf-090,22,16,17,58,44,-0.045455,0.636364
v4conf-091,22,17,16,56,44,0.045455,0.545455
v4conf-092,22,22,22,34,44,0.0,-0.454545
v4conf-093,22,22,16,34,44,0.272727,-0.454545
v4conf-094,22,22,22,34,44,0.0,-0.454545
v4conf-095,22,22,22,34,44,0.0,-0.454545
v4conf-096,22,13,14,56,44,-0.045455,0.545455
v4conf-097,22,21,22,34,44,-0.045455,-0.454545
v4conf-098,22,20,18,55,44,0.090909,0.5
v4conf-099,22,22,22,34,44,0.0,-0.454545
v4conf-100,22,22,22,34,44,0.0,-0.454545
v4conf-101,22,22,22,34,44,0.0,-0.454545
v4conf-102,22,22,20,34,44,0.090909,-0.454545
v4conf-103,22,15,15,59,44,0.0,0.681818
v4conf-104,22,22,12,34,44,0.454545,-0.454545
v4conf-105,22,19,19,36,44,0.0,-0.363636
v4conf-106,22,22,22,34,44,0.0,-0.454545
v4conf-107,22,18,11,55,44,0.318182,0.5
v4conf-108,22,17,18,45,44,-0.045455,0.045455
v4conf-109,22,22,22,34,44,0.0,-0.454545
v4conf-110,22,17,17,52,44,0.0,0.363636
v4conf-111,22,15,14,53,44,0.045455,0.409091
v4conf-112,22,10,10,60,44,0.0,0.727273
v4conf-113,22,17,17,58,44,0.0,0.636364
v4conf-114,22,21,22,35,44,-0.045455,-0.409091
v4conf-115,22,16,16,56,44,0.0,0.545455
v4conf-116,22,22,21,34,44,0.045455,-0.454545
v4conf-117,22,22,15,34,44,0.318182,-0.454545
v4conf-118,22,16,17,60,44,-0.045455,0.727273
v4conf-119,22,22,22,34,44,0.0,-0.454545
