episode_id,trial_index,seed,role_permutation,hidden_state_controlled_injection,gt_local_a,gt_local_b,gt_local_c,adaptive_selected_subset,adaptive_selected_k,adaptive_status,adaptive_degradation_mode,adaptive_execution_calls,adaptive_exploration_calls,adaptive_total_calls,adaptive_success,fixed_subset,fixed_calls,fixed_success,oracle_feasible
v4conf-000,0,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SHARED_DEGRADATION,0,0,1,local-a|local-b|local-c,3,WARMUP,warmup,0,3,3,1,local-b|local-c,2,1,1
v4conf-000,1,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SHARED_DEGRADATION,0,0,0,local-a|local-b|local-c,3,WARMUP,warmup,0,3,3,0,local-b|local-c,2,0,0
v4conf-000,2,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SHARED_DEGRADATION,0,0,0,local-a|local-b|local-c,3,WARMUP,warmup,0,3,3,0,local-b|local-c,2,0,0
v4conf-000,3,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SHARED_DEGRADATION,0,0,0,local-c,1,SLO_ESTIMATE_UNSATISFIABLE,best-effort,1,0,1,0,local-b|local-c,2,0,0
v4conf-000,4,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SINGLE_PROVIDER_CONGESTED,1,1,0,local-a|local-c,2,SLO_ESTIMATE_UNSATISFIABLE,best-effort,2,0,2,1,local-b|local-c,2,1,1
v4conf-000,5,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SINGLE_PROVIDER_CONGESTED,1,1,0,local-a|local-c,2,SLO_ESTIMATE_UNSATISFIABLE,best-effort,2,0,2,1,local-b|local-c,2,1,1
v4conf-000,6,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SINGLE_PROVIDER_CONGESTED,1,1,0,local-a|local-c,2,SLO_ESTIMATE_UNSATISFIABLE,best-effort,2,0,2,1,local-b|local-c,2,1,1
v4conf-000,7,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SINGLE_PROVIDER_CONGESTED,1,1,0,local-a|local-c,2,SLO_ESTIMATE_UNSATISFIABLE,best-effort,2,3,5,1,local-b|local-c,2,1,1
v4conf-000,8,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SINGLE_PROVIDER_CONGESTED,1,1,0,local-a|local-c,2,SLO_ESTIMATE_UNSATISFIABLE,best-effort,2,0,2,1,local-b|local-c,2,1,1
v4conf-000,9,2000000,role_0=local-c;role_1=local-a;role_2=local-b,SINGLE_PROVIDER_CONGESTED,1,1,0,local-a|local-c,2,SLO_ESTIMATE_UNSATISFIABLE,best-effort,2,0,2,1,local-b|local-c,2,1,1
